"permno","gvkey","companyid","keydevid","actdate","announcedate","ri30","ri60","ri182","ri365","sri30","sri182"
58819,"011554",312949,576715377,2014-05-27,2014-05-28,-0.000142024788333333,-0.000282978726428573,-0.00104221562238889,-0.00136620206246032,-0.0623619629317897,-0.0754332937921998
58819,"011554",312949,576715385,2015-07-14,2015-07-09,0.000157005139880954,0.000258708450000004,-0.00035930631573016,4.69055308730248e-05,0.0418036943997041,-0.0157694124354916
42286,"011566",315210,247628384,2013-10-15,2013-10-01,0.000844914533571429,0.00226723706714285,0.00663542190166665,0.0135415315168055,0.105216911992789,0.136204413242383
84403,"011580",314690,408506456,2016-12-09,2016-11-03,-0.00158439542904762,-0.00321463313619048,-0.00360109721853969,-0.00965445979888891,-0.167978503883053,-0.0629324791982828
84403,"011580",314690,643018569,2019-12-06,2019-11-05,-0.000796039495000004,-0.00126149436642858,-0.00180103319693651,0.00102036202484127,-0.104213245306519,-0.0388651089570433
84403,"011580",314690,1771531434,2022-03-09,2022-02-15,-0.00578078671976192,-0.0118122563195238,-0.00820571728011907,-0.0142006742574802,-0.235124105885543,-0.0550144311837043
83601,"011600",314750,222542022,2012-10-09,2012-10-04,0.00773384603202381,0.0181065937592857,0.0359627570579761,0.0473218206997618,0.223843105081927,0.171573829903527
83601,"011600",314750,262921459,2014-05-07,2014-05-01,0.00521200470869048,0.0100973190373809,-0.0101261558537302,-0.036808298594127,0.57704006081983,-0.184797307695809
83601,"011600",314750,329011350,2016-04-05,2016-03-23,-0.00387535465869047,-0.00864961498619047,0.0077805055949762,0.0119055828582738,-0.162025560104944,0.0536203647313896
83601,"011600",314750,640703920,2019-11-13,2019-10-16,0.00256297198785714,0.00261842709571428,-0.00277933560014285,-0.00434959955228176,0.231235195675614,-0.0413333813540004
83601,"011600",314750,1685772985,2021-11-10,2021-10-21,-0.0039568913197619,-0.00959952020309525,0.00630496851214283,0.0227545794220039,-0.165216334399183,0.0433941962789874
27983,"011636",103599,229540468,2013-03-07,2013-02-28,-0.00151539006642857,-0.00232218002738096,0.0012816188251984,0.00261084561216267,-0.193564570621671,0.0269842391487002
27983,"011636",103599,595361217,2019-02-05,2018-12-17,-0.0060970749875,-0.00754376552071428,-0.00951738188432538,-0.0024815626047421,-0.465461401749636,-0.119764884250168
59483,"011649",192089,384165941,2016-09-21,2016-09-15,-0.0720116262222619,-0.0980395690266666,-0.297711944683048,-0.443335905479048,-2.02003930753479,-1.37658593555818
84129,"011687",315476,576717884,2010-02-11,2010-02-03,-0.00228709121630952,-0.00267811991738095,-0.00523420449611909,0.0148530169448413,-0.048424039126647,-0.0182674563700625
84129,"011687",315476,163668398,2012-02-16,2012-02-06,-0.000650947815833332,0.00124440982547619,0.00262281985690477,-0.01418850615625,-0.0499257624757783,0.0331586516152588
84129,"011687",315476,576717901,2015-06-01,2015-06-02,0.000248039582976194,0.000399610519285719,0.000195086464904768,0.000633096077321428,0.0574876388024308,0.00745298907301586
84129,"011687",315476,576717921,2016-02-25,2016-02-05,0.00101645974380952,0.0012606095495238,-0.00181217326654761,-0.00946706729642854,0.0527577458482773,-0.015504066914574
84129,"011687",315476,550283250,2018-03-01,2018-01-22,0.000325045762499999,0.000650737833333334,0.00101264726666667,-0.000452806175575394,0.0368511502240482,0.018924072393848
84129,"011687",315476,637516459,2020-02-06,2019-09-18,0.00078501943452381,0.000549763550952384,-8.08596486190479e-05,-0.000366570942757951,0.125538587677304,-0.00213146667219366
19624,"011703",207364180,1790071685,2022-08-02,2022-07-07,-0.259654184292262,-0.0779757184197619,0.591105502880088,1.16188239332103,-0.598493328336076,0.224584022966456
90756,"011721",294167,216832754,2012-09-14,2012-09-10,-0.00261047837547619,-0.0039875457202381,-0.00213257397916662,-0.00117749890101191,-0.142162594450076,-0.0191434061388878
90756,"011721",294167,384147945,2016-09-23,2016-09-15,-0.00497307511619048,-0.00555508673738096,0.00024036941178569,0.00818553114484131,-0.337996388995712,0.00269287446891873
90756,"011721",294167,1778073664,2022-05-06,2022-04-12,0.00624577031595238,0.010603761797619,0.0234482635429048,0.0280570007106548,0.398734561587392,0.246750718093904
13600,"011745",125618,269905319,2014-10-15,2014-08-07,0.0196014833827381,0.0176267049826191,0.0334853571388096,0.0435797953958928,0.701977171271359,0.197669130591421
13600,"011745",125618,269905324,2014-11-12,2014-08-07,0.00254566789297619,0.00520510959238094,-0.0152191515009524,-0.030753993458512,0.123096411263284,-0.121306466838704
13600,"011745",125618,308385827,2015-10-07,2015-08-03,0.0068433138617857,-0.00216942114666669,-0.00705778716450008,-0.0243575415703376,0.135085073675973,-0.0229646234850943
13600,"011745",125618,378864649,2016-11-17,2016-08-03,-0.0137653395772619,-0.0174798241354762,-0.00978154006547618,0.0056762215240476,-1.24521623156031,-0.145852859666527
13600,"011745",125618,567187088,2018-06-13,2018-05-23,0.000694883252976185,0.00573512549619046,0.0163900619517222,0.039025189752381,0.0786619808887605,0.305832401885459
13600,"011745",125618,589694714,2018-11-15,2018-10-31,-0.00211241196845238,-0.00346656463761905,0.000140237950769836,-0.000710555576587311,-0.0900065715348052,0.000984942830965305
89134,"011781",1241057,99510228,2010-03-16,2010-03-15,-0.000329572338690474,0.000107786005238105,0.000395827284619066,0.00119224268492065,-0.0306677316102868,0.00607136711330763
89134,"011781",1241057,204842325,2012-06-21,2012-04-25,-0.000432603553690471,0.0045546713754762,0.0104140832698809,0.0186745228583333,-0.0274775529567735,0.109033231428766
89134,"011781",1241057,402896386,2016-10-05,2016-09-27,0.000723056816071398,-0.000728481617380998,-0.0015754287006112,0.00105855117182546,0.0148428307801762,-0.0053308066583273
89134,"011781",1241057,540568043,2017-10-18,2017-10-13,0.00241234720380953,-0.0005640028897619,-0.00138665461115078,-0.0030398456939683,0.118461603902154,-0.0112242145692479
88664,"011811",277617,105291276,2010-05-11,2010-05-05,-0.00611258262011904,-0.0123473073785714,-0.0177543973083333,-0.0247743335227182,-0.484029267346427,-0.23174089573618
